"","DF$name","Sieges","V1","Name1","Nat1","SiegeOb1","Perc1","V2","Name2","Nat2","SiegeOb2","Perc2","V3","Name3","Nat3","SiegeOb3","Perc3","V4","Name4","Nat4","SiegeOb4","Perc4","V5","Name5","Nat5","SiegeOb5","Perc5","V6","Name6","Nat6","SiegeOb6","Perc6","V7","Name7","Nat7","SiegeOb7","Perc7","V8","Name8","Nat8","SiegeOb8","Perc8","V9","Name9","Nat9","SiegeOb9","Perc9","V10","Name10","Nat10","SiegeOb10","Perc10","V11","Name11","Nat11","SiegeOb11","Perc11","V12","Name12","Nat12","SiegeOb12","Perc12","V13","Name13","Nat13","SiegeOb13","Perc13","V14","Name14","Nat14","SiegeOb14","Perc14","V15","Name15","Nat15","SiegeOb15","Perc15"
"85","جدليانࢫ",18,1375,"Yasiin","Liste indépendante",8,"7.13%",378,"Altahadiy","Liste indépendante",2,"11.61%",298,"Fbhyth Yhya Shbay Jidlyan","Liste indépendante",2,"9.15%",275,"Ennahdha","Liste partisane",1,"5.68%",232,"Al'Amal","Liste indépendante",1,"6.14%",200,"Qayimat Alhaj Khamysi Dbyawi","Liste indépendante",1,"42.23%",194,"Machrouu Tounes","Liste partisane",1,"8.45%",185,"Jadalyan Awlan","Liste indépendante",1,"5.96%",119,"Nidaa Tounes","Liste partisane",1,"3.65%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","الشرايع مشرق الشمس",18,1173,"Alwafa","Liste indépendante",5,"6.97%",1093,"Ennahdha","Liste partisane",5,"27.00%",843,"Nidaa Tounes","Liste partisane",3,"12.38%",538,"Qayimat Alzzytouna","Liste indépendante",2,"5.62%",303,"Al Intima' Lilardh","Liste indépendante",1,"25.16%",244,"Qayimat Muwatin Almustaqila Min Ajl Ghad 'Afdhal","Liste indépendante",1,"19.40%",151,"Parti Socialiste","Liste partisane",1,"3.48%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","عين الخمايسية",18,1352,"Nidaa Tounes","Liste partisane",9,"7.12%",517,"Alwifaq Altanmaoiu","Liste indépendante",4,"19.99%",431,"Nebnou Maa Baadhna","Liste indépendante",3,"16.67%",184,"Alrihan Albaladii","Liste indépendante",1,"3.94%",102,"Ennahdha","Liste partisane",1,"52.28%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","الرخمات",18,826,"Ennahdha","Liste partisane",7,"18.13%",577,"Qayimat Al'Iislah W Altnmya Libaladeyyat Alrakhmaat","Liste indépendante",5,"17.11%",410,"Fabihyth Fi Alaitihad Quwwa","Liste indépendante",3,"25.51%",387,"Qayimat Al'Amal W Altahadiy","Liste indépendante",3,"36.52%",62,"Nidaa Tounes","Liste partisane",0,"2.74%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","سبيبة",24,2432,"Nidaa Tounes","Liste partisane",7,"5.40%",1242,"Ennahdha","Liste partisane",4,"10.44%",1238,"Sbyba Awlan","Liste indépendante",3,"2.09%",659,"Alyad Albydhaa","Liste indépendante",2,"19.62%",341,"Front Populaire","Liste de coalition",1,"4.23%",267,"Shabab Sbyba","Liste indépendante",1,"19.68%",132,"Sbyba Afdhal","Liste indépendante",0,"38.54%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","سبيطلة",24,1336,"Nidaa Tounes","Liste partisane",5,"2.38%",1232,"Ennahdha","Liste partisane",4,"5.77%",914,"Sawtik 'Amana","Liste indépendante",3,"3.12%",665,"Tunis Fawq Rousna","Liste indépendante",2,"2.18%",631,"Amal Sbitla","Liste indépendante",2,"6.69%",586,"Machrouu Tounes","Liste partisane",2,"8.67%",487,"Alwiam","Liste indépendante",2,"12.56%",449,"Parti Socialiste","Liste partisane",2,"9.14%",420,"Alhurrya","Liste indépendante",1,"16.93%",227,"Alsabyl","Liste indépendante",1,"8.05%",173,"Front Populaire","Liste de coalition",0,"18.35%",159,"Altahadiy","Liste indépendante",0,"6.17%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","خمودة",18,1063,"Nidaa Tounes","Liste partisane",8,"22.65%",795,"Ennahdha","Liste partisane",6,"33.10%",544,"Alwafa'","Liste indépendante",4,"44.25%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","فوسانة",24,1548,"Nidaa Tounes","Liste partisane",5,"4.98%",980,"Ennahdha","Liste partisane",3,"5.52%",733,"Mouvement Démocrate","Liste partisane",3,"3.08%",712,"Machrouu Tounes","Liste partisane",3,"5.02%",708,"Iiradat Alhyat","Liste indépendante",3,"10.30%",682,"Qayimat Ghadwa Khyr","Liste indépendante",2,"9.92%",379,"Alkarama","Liste indépendante",1,"3.36%",345,"Alyd Fi Alyd Ltahqiq Altnmia W Altshghil","Liste indépendante",1,"10.67%",342,"Alayadi Alnadhyfa","Liste indépendante",1,"14.26%",231,"Ufuq Fousana","Liste indépendante",1,"10.36%",212,"Altahadii","Liste indépendante",1,"22.53%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","‫القص‫ر‬ي‬ن‬",24,1532,"Ennahdha","Liste partisane",6,"6.27%",1498,"Nidaa Tounes","Liste partisane",6,"4.89%",998,"Al'Ahrar","Liste indépendante",4,"16.70%",815,"Courant Démocrate","Liste partisane",3,"7.81%",467,"Almuatnyya Maakoum Nastatye","Liste indépendante",2,"13.64%",375,"Front Populaire","Liste de coalition",2,"25.63%",292,"Union Civile","Liste de coalition",1,"25.06%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","‫بوزقام‬",18,1510,"Alsonboula","Liste indépendante",7,"40.62%",1430,"Qayimat Alaimtyaz","Liste indépendante",7,"5.70%",433,"Ennahdha","Liste partisane",2,"38.47%",212,"Amal","Liste indépendante",1,"11.65%",132,"Nidaa Tounes","Liste partisane",1,"3.55%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","‫النور‬",24,1891,"Nidaa Tounes","Liste partisane",8,"10.62%",1418,"Ennahdha","Liste partisane",6,"8.37%",1141,"Courant Démocrate","Liste partisane",5,"19.33%",627,"Front Populaire","Liste de coalition",2,"24.02%",494,"Iilaa Al'Amam","Liste indépendante",2,"5.62%",332,"Machrouu Tounes","Liste partisane",1,"32.03%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","بلخير",18,959,"Ennahdha","Liste partisane",7,"10.69%",514,"Bilkhyr Almuahada","Liste indépendante",4,"21.46%",487,"Nidaa Tounes","Liste partisane",4,"40.04%",256,"Alshabab Imad Albilad","Liste indépendante",2,"7.47%",179,"Machrouu Tounes","Liste partisane",1,"20.33%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","‫القطار‬",18,1765,"Altawasul","Liste indépendante",7,"10.11%",881,"Ennahdha","Liste partisane",4,"42.18%",423,"Front Populaire","Liste de coalition",2,"9.82%",411,"Rawytuna Tafuq Nadhafat Madynatina","Liste indépendante",2,"21.06%",406,"Nidaa Tounes","Liste partisane",2,"7.12%",298,"Mouvement Du Peuple","Liste partisane",1,"9.70%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","‫المظيلة‬",18,NA,"Front Populaire","Liste de coalition",0,"0.00%",NA,"Almdhilat Fi Alqalb","Liste indépendante",0,"0.00%",NA,"Altawafuq","Liste indépendante",0,"0.00%",NA,"Ittihad Almdhilat","Liste indépendante",0,"0.00%",NA,"Qayimat 'Iislah Weamar","Liste indépendante",0,"0.00%",NA,"Shabab Al Mdhila","Liste indépendante",0,"0.00%",NA,"Ennahdha","Liste partisane",0,"0.00%",NA,"Nidaa Tounes","Liste partisane",0,"0.00%",NA,"Parti Des Verts Pour Le Progrès","Liste partisane",0,"0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","‫المتلوي‬",24,1827,"Ennahdha","Liste partisane",4,"9.78%",1567,"Qayimat Albina' W Altjdid","Liste indépendante",4,"14.79%",1438,"Al'Iiqlae","Liste indépendante",4,"1.81%",1232,"Métlaoui Mustaqbalina","Liste indépendante",3,"7.49%",1118,"Nidaa Tounes","Liste partisane",3,"12.67%",951,"Al'Amal","Liste indépendante",2,"16.12%",728,"Métlaoui Awlaan","Liste indépendante",2,"3.98%",387,"Qayimat Almahaba","Liste indépendante",1,"3.06%",297,"AL IRADA","Liste partisane",1,"18.79%",176,"Alryada","Liste indépendante",0,"11.50%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","‫الرديف‬",24,1737,"Front Populaire","Liste de coalition",7,"31.34%",1173,"Ennahdha","Liste partisane",5,"4.55%",646,"Nidaa Tounes","Liste partisane",3,"6.55%",412,"Alssahm","Liste indépendante",2,"7.43%",407,"Mouvement Du Peuple","Liste partisane",2,"6.30%",363,"Alqalae","Liste indépendante",2,"21.16%",349,"Redeyef Awlaan","Liste indépendante",1,"3.68%",252,"Allama","Liste indépendante",1,"7.34%",204,"Machrouu Tounes","Liste partisane",1,"11.65%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","سيدي بوبكر",12,323,"Nidaa Tounes","Liste partisane",2,"15.04%",297,"Aleamal W Almuthabara","Liste indépendante",2,"14.86%",270,"Ennahdha","Liste partisane",2,"17.58%",254,"Al Nadhra Alththaqiba","Liste indépendante",2,"3.79%",251,"Al'Asala","Liste indépendante",2,"13.62%",230,"Alnajah","Liste indépendante",2,"15.99%",64,"Almustaqbal","Liste indépendante",2,"19.12%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","أم الأعراس",18,1332,"Ennahdha","Liste partisane",4,"5.73%",1233,"Klna Am Alearayis","Liste indépendante",3,"2.89%",1180,"Nidaa Tounes","Liste partisane",3,"15.87%",1072,"Almanajam","Liste indépendante",3,"1.50%",636,"Courant Démocrate","Liste partisane",2,"18.26%",617,"AL IRADA","Liste partisane",2,"9.14%",387,"Front Populaire","Liste de coalition",1,"9.42%",195,"Albina' W Al'Iislah","Liste indépendante",0,"19.72%",101,"Altahadiy","Liste indépendante",0,"17.47%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","‫قفصة‬",36,3818,"Ennahdha","Liste partisane",10,"8.57%",3201,"Nidaa Tounes","Liste partisane",9,"4.63%",2191,"Gafsa Aljamyla","Liste indépendante",6,"2.52%",1260,"Front Populaire","Liste de coalition",3,"1.65%",1026,"Gafsa Aljadyda","Liste indépendante",3,"2.78%",993,"Courant Démocrate","Liste partisane",3,"6.98%",680,"Union Civile","Liste de coalition",2,"14.91%",408,"Amul","Liste indépendante",0,"1.08%",371,"Aleazyma","Liste indépendante",0,"6.76%",346,"Mouvement Du Peuple","Liste partisane",0,"25.98%",242,"Almuatina W Alasala","Liste indépendante",0,"2.35%",159,"AL IRADA","Liste partisane",0,"21.78%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","سيدي عيش",18,879,"Sidi Eysh Lil Jamye","Liste indépendante",5,"16.80%",556,"Al'Ikhtyar Al'Afdal","Liste indépendante",3,"12.81%",532,"W Bihyth Thya Sidi Eysh","Liste indépendante",3,"26.56%",472,"Ennahdha","Liste partisane",3,"16.08%",446,"Nidaa Tounes","Liste partisane",2,"14.26%",424,"Sidi Eysh Awlaan","Liste indépendante",2,"13.48%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","‫القصر‬",24,1306,"Ennahdha","Liste partisane",7,"9.48%",1305,"Qayima ""Alhukm Almahalli"" Almustaqilat Bialqasr - Gafsa","Liste indépendante",7,"8.00%",754,"Nidaa Tounes","Liste partisane",4,"28.37%",436,"Front Populaire","Liste de coalition",2,"28.39%",431,"Mouvement Du Peuple","Liste partisane",2,"9.37%",368,"Iyd Wahda","Liste indépendante",2,"16.39%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","‫لالة‬",18,827,"Ennahdha","Liste partisane",4,"9.05%",662,"Al'Iintlaqa","Liste indépendante",4,"28.81%",455,"Nidaa Tounes","Liste partisane",2,"35.99%",208,"Front Populaire","Liste de coalition",1,"6.35%",146,"Machrouu Tounes","Liste partisane",1,"19.80%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","‫زانوش‬",18,728,"Al'Amal","Liste indépendante",4,"21.37%",723,"Almustaqila Lil Amal W Altanmya","Liste indépendante",4,"21.22%",665,"Nidaa Tounes","Liste partisane",4,"18.81%",650,"Ennahdha","Liste partisane",3,"19.08%",641,"Mustaqiloun","Liste indépendante",3,"19.52%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","‫السند‬",18,1077,"Ennahdha","Liste partisane",4,"8.22%",996,"Nidaa Tounes","Liste partisane",4,"6.25%",792,"Judhur W 'Ajniha","Liste indépendante",3,"12.94%",576,"Arroyaa Aljadyda","Liste indépendante",2,"17.80%",366,"Front Populaire","Liste de coalition",2,"5.12%",278,"Albalabiya Liljimye","Liste indépendante",1,"24.20%",228,"Zitouna","Liste indépendante",1,"22.38%",137,"Parti Socialiste","Liste partisane",1,"3.08%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","‫بوعرادة‬",18,996,"Front Populaire","Liste de coalition",6,"31.69%",942,"Ennahdha","Liste partisane",5,"6.97%",727,"Nidaa Tounes","Liste partisane",4,"8.24%",259,"Courant Démocrate","Liste partisane",2,"29.97%",219,"Bouarada Awlan","Liste indépendante",1,"23.13%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","‫قعفور‬",18,936,"Front Populaire","Liste de coalition",6,"31.98%",609,"Nidaa Tounes","Liste partisane",4,"14.31%",519,"Ennahdha","Liste partisane",3,"8.44%",419,"Al'Amal Min Ajl Qaefur","Liste indépendante",3,"17.73%",247,"Afek Tounes","Liste partisane",1,"20.81%",197,"Parti Destourien Libre Pdl","Liste partisane",1,"6.73%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","‫العروسة‬",12,613,"Front Populaire","Liste de coalition",4,"30.96%",547,"Ennahdha","Liste partisane",3,"13.59%",269,"Abnaa Alaroussa","Liste indépendante",2,"11.97%",254,"Nidaa Tounes","Liste partisane",2,"27.63%",237,"Alraja W Alsumud","Liste indépendante",1,"3.03%",60,"Machrouu Tounes","Liste partisane",0,"12.83%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","بورويس",18,715,"Al'Amal","Liste indépendante",4,"21.71%",627,"Nidaa Tounes","Liste partisane",4,"25.33%",613,"Front Populaire","Liste de coalition",4,"5.07%",596,"Ennahdha","Liste partisane",4,"21.11%",143,"Afek Tounes","Liste partisane",1,"22.21%",129,"Parti Destourien Libre Pdl","Liste partisane",1,"4.57%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","الكريب",18,1539,"Sanabil Alkiryb","Liste indépendante",6,"4.07%",930,"Alkiryb Nahw Al'Afdal","Liste indépendante",3,"9.00%",798,"Ennahdha","Liste partisane",3,"19.70%",577,"Nidaa Tounes","Liste partisane",2,"32.59%",425,"Alkiryb Mawtin Aljmye","Liste indépendante",2,"3.43%",192,"Front Populaire","Liste de coalition",1,"16.90%",162,"Shabab Almustaqbal","Liste indépendante",1,"12.22%",99,"Parti Socialiste","Liste partisane",0,"2.10%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","سيدي مرشد",18,909,"Ennahdha","Liste partisane",8,"22.29%",705,"Nidaa Tounes","Liste partisane",6,"43.77%",463,"Fyq","Liste indépendante",4,"33.94%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","مكثر",24,1328,"Ennahdha","Liste partisane",7,"8.41%",979,"Nidaa Tounes","Liste partisane",6,"14.10%",602,"Union Civile","Liste de coalition",3,"9.23%",394,"Al'Amal","Liste indépendante",2,"6.56%",359,"Front Populaire","Liste de coalition",2,"7.70%",329,"Mustaqbal Makthar","Liste indépendante",2,"31.09%",280,"Alwafa","Liste indépendante",2,"22.92%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","‫كسرى‬",18,825,"Ennahdha","Liste partisane",6,"5.45%",682,"Mustaqilat Al'Amal","Liste indépendante",5,"28.15%",406,"Courant Démocrate","Liste partisane",3,"4.04%",280,"Nidaa Tounes","Liste partisane",2,"16.76%",132,"Aitihad Shabab Kisraa","Liste indépendante",1,"34.05%",98,"Afek Tounes","Liste partisane",1,"11.56%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","‫الروحية‬",18,917,"Arrouheyatawahadna","Liste indépendante",5,"16.68%",702,"Nidaa Tounes","Liste partisane",4,"28.01%",546,"Albina","Liste indépendante",3,"8.12%",341,"Mouvement Du Peuple","Liste partisane",2,"8.12%",266,"Afek Tounes","Liste partisane",2,"7.21%",266,"Ennahdha","Liste partisane",2,"10.42%",236,"Machrouu Tounes","Liste partisane",1,"21.44%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","الحبابسة",12,349,"Afek Tounes","Liste partisane",5,"43.09%",260,"Nidaa Tounes","Liste partisane",4,"24.81%",201,"Ennahdha","Liste partisane",3,"32.10%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","‫سليانة‬",24,1898,"Parti Destourien Libre Pdl","Liste partisane",7,"7.62%",1063,"Ennahdha","Liste partisane",4,"5.09%",1032,"Nidaa Tounes","Liste partisane",4,"2.53%",500,"Front Populaire","Liste de coalition",2,"7.16%",470,"Hannabal","Liste indépendante",2,"5.91%",388,"Shabab Silyana","Liste indépendante",2,"5.26%",365,"Courant Démocrate","Liste partisane",1,"5.56%",345,"Silyana Barjalha Wanasaha","Liste indépendante",1,"16.20%",334,"Union Civile","Liste de coalition",1,"15.73%",166,"Alwaed Alhur","Liste indépendante",0,"28.93%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","‫برقو‬",18,1437,"Bargou Tajamaena","Liste indépendante",9,"6.93%",553,"Tharwat Bargou Fi Falahatha","Liste indépendante",3,"48.37%",413,"Ennahdha","Liste partisane",3,"18.61%",217,"Afek Tounes","Liste partisane",1,"7.30%",206,"Bargou Altanmiya","Liste indépendante",1,"13.90%",145,"Nidaa Tounes","Liste partisane",1,"4.88%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","حاجب العيون",18,1019,"Tashyh Almasar","Liste indépendante",3,"4.25%",1010,"Mustaqbal Hajib Al Aayoun","Liste indépendante",3,"14.81%",837,"Ahrar Hajib Alayoun","Liste indépendante",3,"17.87%",776,"Nidaa Tounes","Liste partisane",3,"7.04%",746,"Ennahdha","Liste partisane",2,"18.03%",522,"Courant Démocrate","Liste partisane",2,"9.23%",398,"Sawaeid Alhur","Liste indépendante",1,"13.20%",345,"Front Populaire","Liste de coalition",1,"13.73%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","‫الشراردة‬",18,1162,"Ennahdha","Liste partisane",10,"19.93%",549,"Nidaa Tounes","Liste partisane",5,"54.38%",426,"Front Populaire","Liste de coalition",3,"25.69%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","نصر الله",18,1402,"Front Populaire","Liste de coalition",7,"41.69%",1177,"Ennahdha","Liste partisane",6,"9.43%",318,"Nidaa Tounes","Liste partisane",2,"35.00%",317,"Alzzytouna","Liste indépendante",2,"4.43%",149,"La Rencontre Démocratique","Liste partisane",1,"9.46%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","‫الشرايطية‬ ‫القصور‬",18,605,"Ennahdha","Liste partisane",4,"16.36%",549,"Nidaa Tounes","Liste partisane",4,"12.22%",419,"Ahrar Alqusur","Liste indépendante",3,"23.62%",369,"Machrouu Tounes","Liste partisane",3,"14.41%",313,"Qayimat Shabab Alqusur Almustaqila","Liste indépendante",2,"11.95%",306,"Mouvement Du Peuple","Liste partisane",2,"21.44%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","جهينة",12,644,"Nidaa Tounes","Liste partisane",7,"10.47%",275,"Ennahdha","Liste partisane",3,"16.82%",270,"Alqayimat Almustaqilat Alzzytouna","Liste indépendante",3,"15.45%",248,"Alwafa' Ltanmyat Jhyna","Liste indépendante",3,"17.13%",168,"Front Populaire","Liste de coalition",2,"40.12%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
